time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed,waiting_time
0.5,flow_00.0,-1.6,44.9,0.0,1000.0,,,,,,0,0,E#T-X,0,0.0,5.1,,-1001.0,0.0
1.0,flow_00.0,-1.6,44.65,0.5,1000.0,,1.0,1.0,1.0,1.0,1.0,0,E#T-X,0,0.25,5.35,,-1001.5,0.0
1.5,flow_00.0,-1.6,44.150000019290125,0.9999999614197531,1000.0,,0.9999999228395062,0.9999999228395062,0.9999999228395062,0.9999999228395062,0.9999999228395062,0,E#T-X,0,0.7499999807098767,5.849999980709876,,-1001.9999999614198,0.0
2.0,flow_00.0,-1.6,43.400000347222175,1.4999993441358979,1000.0,,0.9999987654322893,0.9999987654322893,0.9999987654322893,0.9999987654322893,0.9999987654322895,0,E#T-X,0,1.4999996527778254,6.599999652777825,,-1002.4999993441359,0.0
2.5,flow_00.0,-1.6,42.40000223765149,1.9999962191413634,1000.0,,0.999993750010931,0.999993750010931,0.999993750010931,0.999993750010931,0.999993750010931,0,E#T-X,0,2.4999977623485075,7.599997762348507,,-1002.9999962191414,0.0
3.0,flow_00.0,-1.6,41.15000906631508,2.499986342672837,1000.0,,0.9999802470629471,0.9999802470629471,0.9999802470629471,0.9999802470629471,0.9999802470629473,0,E#T-X,0,3.7499909336849253,8.849990933684925,,-1003.4999863426729,0.0
3.5,flow_00.0,-1.6,39.65002795104237,2.9999622305454148,1000.0,,0.9999517757451555,0.9999517757451555,0.9999517757451555,0.9999517757451555,0.9999517757451555,0,E#T-X,0,5.249972048957632,10.349972048957632,,-1003.9999622305454,0.0
4.0,flow_00.0,-1.6,37.900071834510705,3.499912233063331,1000.0,,0.9999000050358322,0.9999000050358322,0.9999000050358322,0.9999000050358322,0.9999000050358324,0,E#T-X,0,6.9999281654892975,12.099928165489297,flow_001.0,-1004.4999122330634,0.0
4.5,flow_00.0,-1.6,35.900162028919944,3.9998196111815183,1000.0,,0.9998147562363746,0.9998147562363746,0.9998147562363746,0.9998147562363746,0.9998147562363746,0,E#T-X,0,8.999837971080057,14.099837971080056,flow_001.0,-1004.9998196111815,0.0
5.0,flow_00.0,-1.6,33.65033122142289,4.499661614994119,1000.0,,0.9996840076252022,0.9996840076252022,0.9996840076252022,0.9996840076252022,0.999684007625202,0,E#T-X,0,11.249668778577115,16.349668778577115,flow_001.0,-1005.4996616149941,0.0
5.5,flow_00.0,-1.6,31.150626938361807,4.999408566122158,1000.0,,0.9994939022560778,0.9994939022560778,0.9994939022560778,0.9994939022560778,0.9994939022560771,0,E#T-X,0,13.749373061638194,18.849373061638193,flow_001.0,-1005.9994085661222,0.0
6.0,flow_00.0,-1.6,28.401115465280828,5.499022946161957,1000.0,,0.9992287600795975,0.9992287600795975,0.9992287600795975,0.9992287600795975,0.9992287600795979,0,E#T-X,0,16.498884534719174,21.598884534719172,flow_001.0,-1006.499022946162,0.0
6.5,flow_00.0,-1.6,25.40188621826279,5.9984584940360826,1000.0,,0.9988710957482514,0.9988710957482514,0.9988710957482514,0.9988710957482514,0.9988710957482514,0,E#T-X,0,19.49811378173721,24.59811378173721,flow_001.0,-1006.9984584940361,0.0
7.0,flow_00.0,-1.6,22.234215361274604,6.3353417139763675,1000.0,,0.9984016436394725,0.9984016436394725,0.9984016436394725,0.9984016436394725,0.6737664398805698,0,E#T-X,0,22.6657846387254,27.765784638725396,flow_001.0,-1007.3353417139764,0.0
7.5,flow_00.0,-1.6,19.31559097840097,5.837248765747268,1000.0,,0.9980111814595115,0.9980111814595115,0.9980111814595115,0.9980111814595115,-0.9961858964581989,0,E#T-X,0,25.58440902159903,30.68440902159903,flow_001.0,-1006.8372487657473,0.0
